gene_name,microbiome_pvalue,tissue_pvalue,microbiome_logFC,tissue_logFC
HLA-DPA1,0.000735,9.91E-09,2.5231519,-2.7469229
OGFRP1,0.017,9.98E-09,0.9873977,0.7986861
MAP3K2,0.000353,1.02E-08,-1.0851861,-1.49345
LRCH1,2.18E-05,1.03E-08,-1.7904843,-2.2729275
PSMA3-AS1,0.00818,1.03E-08,-0.6901151,-1.9277625
SPARC,6.06E-07,1.04E-08,3.7260733,-3.6204684
PRDM9,0.0188,1.04E-08,1.5240227,0.8705191
LINC01134,0.00286,1.04E-08,1.9633361,0.8307741
THY1,3.98E-07,1.05E-08,2.179616,-2.7073759
PARD3B,0.00884,1.05E-08,-1.0951728,0.7995009
COL1A1,6.70E-05,1.05E-08,2.2428753,-3.4945652
ALG13,2.92E-06,1.06E-08,-1.4905608,-1.4298589
SFRP2,1.99E-05,1.07E-08,4.44896,-4.0162855
CHRNA4,0.00754,1.10E-08,0.8419569,0.6118116
LOC101060275///NPIPA5///NPIPB5///NPIPB11///LOC613037///NPIPB4///NPIPB3,0.0288,1.10E-08,-0.9275765,-2.278832
LOC101927705///P4HA2,0.0184,1.11E-08,0.6502116,0.6528375
LINC00687,0.00491,1.11E-08,2.4745951,0.7900411
CLEC11A,1.33E-06,1.11E-08,3.674933,-2.4330507
TSKS,0.0471,1.13E-08,1.2485473,0.8646418
FRRS1L,0.00371,1.14E-08,2.3120458,0.8710171
ERICH1-AS1,1.20E-06,1.16E-08,3.1731149,1.15458
PHACTR2,0.00183,1.18E-08,-1.2078308,-1.8361188
BCL2L2-PABPN1///PABPN1,0.0199,1.18E-08,-0.5464824,-0.9237691
TRAM2,0.00589,1.18E-08,-1.0987778,-1.6073896
SEMA6C,0.0029,1.21E-08,2.0119034,0.769525
LTBP3,0.00116,1.23E-08,2.3463696,-2.0875871
FAAP20,0.000279,1.23E-08,0.9048804,0.7709966
GLS2,4.85E-05,1.24E-08,3.4401619,2.9936543
ADAM20,0.0154,1.24E-08,1.4688228,0.7327039
THY1,3.98E-07,1.25E-08,2.179616,-3.5319196
TCF4,1.17E-10,1.25E-08,2.4292489,-2.1617443
TBCEL,0.00802,1.25E-08,0.9208489,-1.4341316
TTC31,0.00927,1.26E-08,-0.6412991,-1.0417475
EIF3B,9.41E-06,1.27E-08,-1.7458423,0.8660693
EZH1,0.0009,1.27E-08,1.0876311,-0.9328363
LARP1,0.0046,1.27E-08,1.0891826,0.7809234
WSB1,0.00389,1.28E-08,-0.8039218,-1.8781934
OLFML1,3.57E-09,1.28E-08,3.0353896,-2.2021625
ADAMTSL3,5.65E-09,1.29E-08,3.8003383,0.635548
DNM2,8.63E-06,1.29E-08,-2.7172763,0.7366605
CAMK2N2,1.21E-06,1.29E-08,3.4153373,2.374872
EFEMP1,5.57E-07,1.29E-08,4.3347849,-2.4471921
IPO5,2.36E-05,1.30E-08,1.1691521,0.8246775
HLA-DRB1,0.00791,1.30E-08,1.8329691,-2.5498518
RCBTB2,0.0211,1.31E-08,0.8019079,-1.8347891
EIF4G3,3.51E-05,1.31E-08,-1.2305678,-1.5093
KLHL22,0.0312,1.31E-08,1.1149368,0.7180911
RRP1B,0.00503,1.31E-08,1.4957967,1.1680098
RIMKLB,2.16E-05,1.31E-08,1.5601159,-1.80464
EHMT2,0.0284,1.32E-08,1.3607614,1.0517461
PPWD1,0.0379,1.35E-08,-0.7781778,-1.6124821
EDNRA,2.40E-05,1.35E-08,2.241014,-3.3575448
SEBOX///VTN,4.35E-05,1.35E-08,2.4720988,0.9156009
XRN1,0.00703,1.35E-08,-1.3231056,-1.3469334
FEZ2,0.00667,1.36E-08,-0.8079485,-1.7615959
PLXNA2,0.000823,1.37E-08,1.2435313,1.3835146
WDR44,0.0222,1.38E-08,-0.6310217,0.916588
PSME4,0.000716,1.41E-08,-0.8158745,-1.2032652
HINT1,0.000314,1.41E-08,-1.6841728,-1.7163246
HMGB1,0.000591,1.42E-08,-0.6366036,-1.1845536
RRBP1,0.00148,1.43E-08,1.0544484,0.9927702
BTN2A1,0.0378,1.45E-08,-0.8783425,-0.831575
STRN,6.74E-05,1.45E-08,-1.3245495,-1.0880771
TUG1,6.73E-05,1.47E-08,-1.7656917,-1.9580886
SLCO4A1,4.50E-05,1.47E-08,-3.1267429,0.7787832
SMR3A///SMR3B,0.012,1.47E-08,1.4731295,0.7755259
RWDD2B,1.65E-06,1.47E-08,2.1210702,0.9663318
PDSS2,0.000612,1.50E-08,-1.4450885,0.8649982
STKLD1,0.00313,1.50E-08,1.7945885,0.8277995
TBC1D2B,0.00373,1.50E-08,0.7734078,0.786
ASCL3,0.00118,1.52E-08,2.3509095,0.8880011
GRIN1,0.0018,1.52E-08,1.679083,0.9460132
VPS8,0.00724,1.53E-08,-0.6012572,-1.2292327
ATXN1,7.32E-05,1.56E-08,-1.4466192,-1.722955
TDG,0.00474,1.56E-08,-0.8726239,-2.0565495
PLG///LPA,0.00204,1.59E-08,2.2207642,1.4731716
LRRC52,0.0278,1.61E-08,1.2879122,0.8615611
MZF1,0.00421,1.63E-08,-1.1430808,-1.0709334
CDK19,0.00359,1.64E-08,-1.0280608,-1.2536696
CFHR1///CFH,0.0118,1.64E-08,2.1130298,-3.1373973
DENND2C,0.0141,1.65E-08,1.1069576,0.9693016
RABGAP1,0.00527,1.65E-08,-0.9320935,-1.050852
ANKRD36B,0.000177,1.66E-08,-2.0775147,-2.2137121
TRAPPC6B,0.047,1.67E-08,-0.6434522,-1.2366743
DCD,0.00363,1.67E-08,1.6778238,0.9038861
AK7,7.63E-05,1.68E-08,-2.0360271,0.948172
DUSP1,8.70E-07,1.68E-08,2.6266813,-2.1513304
BCL2L11,0.00419,1.71E-08,1.0068014,0.6258084
GLIPR1,9.37E-05,1.72E-08,2.2345495,-2.3104325
SH3KBP1,9.52E-05,1.74E-08,-2.0305788,-2.4114136
SOCS7,0.0458,1.76E-08,0.5678631,0.7069398
RBBP6,8.21E-07,1.76E-08,-1.4176534,0.7899037
EGR1,1.70E-06,1.77E-08,2.5644492,-2.5372938
EXOC1,0.000208,1.77E-08,-0.9133819,-1.8684288
PHTF2,0.0227,1.80E-08,-0.890083,-2.2612282
HLA-DPB1,7.96E-05,1.82E-08,2.6102354,-2.3318348
PCOLCE,1.08E-06,1.83E-08,3.8227832,-2.5793045
TRIM38,0.000829,1.85E-08,0.9387278,-1.4997716
DKK3,0.0012,1.85E-08,1.9549126,-2.8207855
DDX51,0.0289,1.87E-08,0.9626732,0.6841886
VPS13B,0.00409,1.87E-08,-0.850546,-1.449313
COL8A1,0.00425,1.88E-08,2.2722758,-4.7713079
MYO9A,0.00556,1.89E-08,-1.1803777,-1.5908132
HLA-DPA1,0.000735,1.91E-08,2.5231519,-3.1534925
SPARC,6.06E-07,1.95E-08,3.7260733,-2.8940602
GPX8,0.0309,1.96E-08,1.2004639,-1.880283
FAM122B,0.000464,1.96E-08,-0.930746,-1.4171643
ANGEL1,0.022,1.99E-08,0.5323993,0.8329504
HLA-C,0.00661,2.00E-08,-1.2497735,-1.4626429
LOC100996696///PABPC4,6.39E-05,2.02E-08,2.3474921,1.8978221
ZNF521,4.02E-06,2.03E-08,2.8773586,-2.3509848
TRPC1,0.00335,2.07E-08,2.3690927,-2.1501532
MYL7,0.0291,2.07E-08,0.8401947,0.9504875
WSB1,0.00389,2.08E-08,-0.8039218,-2.0728652
SEMA3C,0.0379,2.08E-08,-1.1271404,-4.2743452
TLE4,0.0115,2.10E-08,-0.8297675,-1.37501
KLF6,0.000442,2.10E-08,1.4962622,-1.9478332
MID2,9.90E-05,2.10E-08,1.3287568,0.8004698
CD69,8.00E-05,2.11E-08,1.8535059,-3.1997984
KCNC2,0.00217,2.12E-08,1.4235465,0.7658611
KLF6,0.000442,2.14E-08,1.4962622,-1.855737
FUT6,0.0188,2.16E-08,-0.6519487,0.9838687
SLC2A13,0.0074,2.18E-08,-0.9873079,0.7015402
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3,0.000414,2.19E-08,-1.1962065,-1.4539246
ZFC3H1,2.03E-06,2.20E-08,-1.2387105,-1.7967886
BTBD19,0.0448,2.23E-08,0.9928519,-2.1775945
CD2AP,0.000329,2.24E-08,-1.2134006,0.7739582
OGDH,0.0073,2.25E-08,1.0039398,1.0941982
RNF207,0.00516,2.26E-08,-0.8025268,0.8394893
C1orf54,0.006,2.27E-08,0.9053414,-2.2981686
A2MP1,0.00107,2.28E-08,1.9783892,0.8779732
PROSC,0.000169,2.28E-08,1.5705631,0.6618664
INO80D,3.95E-06,2.29E-08,-1.1744086,0.8148741
CLYBL-AS1,0.0386,2.31E-08,1.4144333,0.7143793
HEPH,6.29E-05,2.31E-08,-2.641225,-3.3735573
SERPINE1,2.04E-11,2.34E-08,5.2918025,-2.9773754
CENPJ,1.42E-05,2.34E-08,-2.176125,-1.8493396
TBC1D16,0.0127,2.34E-08,0.8848589,0.6040012
LOC101927411,0.00415,2.36E-08,1.4092998,0.8135723
INO80D,3.95E-06,2.37E-08,-1.1744086,-0.7201379
ZMYM6,0.00022,2.41E-08,-1.0064785,-1.2466545
SLC17A7,0.000353,2.42E-08,1.744854,0.7159927
PCDHA2///PCDHA3,6.02E-05,2.43E-08,2.040923,1.0542339
FBN1,2.79E-06,2.44E-08,2.7297762,-2.7750227
EMP1,2.35E-05,2.46E-08,2.2759077,-2.9155905
ADD1,0.000296,2.47E-08,1.087308,-1.2824023
TCEB3,0.0407,2.47E-08,0.7307101,0.6668802
PRCAT47,0.0082,2.47E-08,1.6697066,0.8521086
PRRX1,8.30E-06,2.48E-08,3.4018289,-2.8335555
NAPA-AS1,0.00141,2.51E-08,1.7580076,0.9902436
RASA2,7.52E-08,2.52E-08,-2.7408896,-2.2110677
SNORD88C///C19orf48,0.00126,2.53E-08,1.7649072,1.6306989
TET2,0.0381,2.57E-08,-0.6530834,-1.6665559
RORA,2.30E-05,2.57E-08,2.5029134,0.9536943
SLC2A3,2.22E-07,2.59E-08,3.14307,-3.5660668
SFRP4,3.83E-06,2.60E-08,2.8053963,-4.2392357
RAB3C,0.0207,2.60E-08,0.8801557,0.8389541
SLC1A4,0.00877,2.61E-08,0.9477443,1.3453018
NAGLU,0.0393,2.63E-08,0.8398346,1.1609791
FCN2,0.00563,2.63E-08,1.5608688,0.8521546
RNF213,8.78E-09,2.63E-08,-2.3847503,-2.1417668
MGAT5,7.46E-05,2.64E-08,-1.0380536,0.8807155
NLRC5,0.0158,2.69E-08,-1.1989004,-2.0162039
PAX3,0.0439,2.73E-08,1.346221,1.0026323
LURAP1,0.00111,2.74E-08,1.9504411,0.802237
SPON1,1.34E-06,2.77E-08,2.8675859,-3.115313
ZEB2,1.21E-08,2.78E-08,2.7189828,-2.6593877
LZTS1,9.63E-07,2.79E-08,2.0797438,0.6926725
COL1A1,6.70E-05,2.79E-08,2.2428753,0.9838345
PITX3,6.34E-05,2.79E-08,1.7641751,1.0090066
LUM,1.02E-05,2.82E-08,3.2696057,-3.5482943
CD99L2,4.48E-05,2.84E-08,1.4910708,0.7806638
COL5A1,3.16E-05,2.89E-08,2.7913826,-4.0726157
DAZ4///DAZ2///DAZ3///DAZ1,0.00722,2.89E-08,2.7004132,0.852207
CELF2-AS1,0.00867,2.92E-08,1.6973088,0.8825837
PNISR,0.00293,2.93E-08,-1.0243045,-1.9583639
KLHL31,0.00308,2.94E-08,-1.6776427,0.8666655
TUBGCP2,0.00233,2.96E-08,2.0568901,1.0378346
MYCN,0.00447,2.97E-08,-1.5556021,0.9175941
SUPT7L,0.0259,2.98E-08,0.613375,-1.1959814
ACSS1,0.0141,3.00E-08,1.4795636,0.7339212
COL5A1,3.16E-05,3.01E-08,2.7913826,-4.4764364
FAM90A2P///FAM90A25P///FAM86B3P///FAM90A1,0.00156,3.04E-08,2.0973968,0.9344416
LOC339874,0.0316,3.06E-08,-1.2864879,0.8370805
CDRT15,0.0116,3.07E-08,1.125816,0.9276802
KAZN,0.039,3.08E-08,0.5339584,0.7510593
GLS2,4.85E-05,3.10E-08,3.4401619,2.5081182
CARS2,0.0124,3.11E-08,-0.6865398,0.8871718
RNF144A-AS1,0.0185,3.12E-08,1.0903,0.8637359
LZTS2,0.00318,3.13E-08,2.1043076,0.6136211
TCF4,1.17E-10,3.15E-08,2.4292489,-1.6961032
MLX,1.15E-05,3.16E-08,2.1380965,0.6837946
FUBP1,1.66E-05,3.17E-08,-1.2642675,-1.6137868
ZNF335,1.50E-05,3.20E-08,1.8444734,0.7399096
LOC101928818///PWRN1,0.00856,3.21E-08,1.8333852,0.6418809
AHR,0.000367,3.22E-08,-1.4504661,-1.9976373
GH1///CSHL1///CSH1,2.47E-07,3.23E-08,3.3217901,0.8135359
TEX13A,0.000346,3.26E-08,2.5196023,0.8125398
12-Sep,0.0439,3.26E-08,0.7407284,0.904722
PLXDC1,0.000569,3.28E-08,1.4198887,-2.7531388
LPO,0.0424,3.28E-08,1.3217234,0.9280425
SERPINE1,2.04E-11,3.28E-08,5.2918025,-3.7111646
TMEM43,0.0179,3.28E-08,-0.6309981,-1.9842607
LOC101930591///FAM21A///FAM21C,7.59E-05,3.28E-08,-0.9147029,-0.9037596
ZDHHC19,0.0173,3.29E-08,1.7346791,0.8203602
MLKL,0.0349,3.29E-08,-0.6215622,-1.30942
ASXL2,0.00093,3.30E-08,-1.0309607,-1.2667764
SOX15,0.000116,3.35E-08,1.7018988,1.7591698
GTF3C2-AS1,0.0075,3.36E-08,1.3462447,0.9143593
SKAP2,0.00131,3.36E-08,-1.3757627,-2.64336
LINGO3,0.00084,3.37E-08,1.3008565,0.8627236
A2M,5.61E-07,3.39E-08,2.1721009,1.0162245
SULF1,0.0294,3.39E-08,1.081811,-5.0389423
KLHL29,0.0319,3.40E-08,-1.027739,-1.8200105
