CYR61,cysteine rich angiogenic inducer 61,,,,,,,,,,,,,,,,,,,,,,
PPHLN1,periphilin 1,,,,,,,,,,,,,,,,,,,,,,
NXF1,nuclear RNA export factor 1,,,,,,,,,,,,,,,,,,,,,,
USP48,ubiquitin specific peptidase 48,,,,,,,,,,,,,,,,,,,,,,
ASPN,asporin,,,,,,,,,,,,,,,,,,,,,,
BCL2L13,BCL2 like 13,,,,,,,,,,,,,,,,,,,,,,
BTN3A3,butyrophilin subfamily 3 member A3,,,,,,,,,,,,,,,,,,,,,,
CTGF,connective tissue growth factor,,,,,,,,,,,,,,,,,,,,,,
DRD5,dopamine receptor D5,,,,,,,,,,,,,,,,,,,,,,
FGA,fibrinogen alpha chain,,,,,,,,,,,,,,,,,,,,,,
VPS45,vacuolar protein sorting 45 homolog,,,,,,,,,,,,,,,,,,,,,,
FOS,Fos proto-oncogene, AP-1 transcription factor subunit,,,,,,,,,,,,,,,,,,,,,
AHSA2,AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast),,,,,,,,,,,,,,,,,,,,,
FGF4,fibroblast growth factor 4,,,,,,,,,,,,,,,,,,,,,,
NEMP1,nuclear envelope integral membrane protein 1,,,,,,,,,,,,,,,,,,,,,,
LOC441155///ZC3H11A,zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A,,,,,,,,,,,,,,,,,,,,,,
NAB1,NGFI-A binding protein 1,,,,,,,,,,,,,,,,,,,,,,
TUG1,taurine up-regulated 1 (non-protein coding),,,,,,,,,,,,,,,,,,,,,,
TIA1,TIA1 cytotoxic granule-associated RNA binding protein,,,,,,,,,,,,,,,,,,,,,,
LOC101930112///SPG7,uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit,,,,,,,,,,,,,,,,,,,,,
TIA1,TIA1 cytotoxic granule-associated RNA binding protein,,,,,,,,,,,,,,,,,,,,,,
ABCC5,ATP binding cassette subfamily C member 5,,,,,,,,,,,,,,,,,,,,,,
RBM6,RNA binding motif protein 6,,,,,,,,,,,,,,,,,,,,,,
ARPIN,actin-related protein 2/3 complex inhibitor,,,,,,,,,,,,,,,,,,,,,,
SLC4A7,solute carrier family 4 member 7,,,,,,,,,,,,,,,,,,,,,,
MTX3,metaxin 3,,,,,,,,,,,,,,,,,,,,,,
ALG13,ALG13, UDP-N-acetylglucosaminyltransferase subunit,,,,,,,,,,,,,,,,,,,,,
HP1BP3,heterochromatin protein 1 binding protein 3,,,,,,,,,,,,,,,,,,,,,,
EMP1,epithelial membrane protein 1,,,,,,,,,,,,,,,,,,,,,,
NT5M,5',3'-nucleotidase, mitochondrial,,,,,,,,,,,,,,,,,,,,
HDAC6,histone deacetylase 6,,,,,,,,,,,,,,,,,,,,,,
RABL2A///RABL2B,RAB, member of RAS oncogene family-like 2A///RAB, member of RAS oncogene family-like 2B,,,,,,,,,,,,,,,,,,,,
ATP10D,ATPase phospholipid transporting 10D (putative),,,,,,,,,,,,,,,,,,,,,,
MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1,,,,,,,,,,,,,,,,,,,,,,
TMEM120B,transmembrane protein 120B,,,,,,,,,,,,,,,,,,,,,,
NREP,neuronal regeneration related protein,,,,,,,,,,,,,,,,,,,,,,
RRS1,ribosome biogenesis regulator homolog,,,,,,,,,,,,,,,,,,,,,,
EFHC1,EF-hand domain containing 1,,,,,,,,,,,,,,,,,,,,,,
ACIN1,apoptotic chromatin condensation inducer 1,,,,,,,,,,,,,,,,,,,,,,
LINC00475,long intergenic non-protein coding RNA 475,,,,,,,,,,,,,,,,,,,,,,
LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1,,,,,,,,,,,,,,,,,,,,,,
SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,,,,,,,,,,,,,,,,,,,,,,
ZNF827,zinc finger protein 827,,,,,,,,,,,,,,,,,,,,,,
DIP2A,disco interacting protein 2 homolog A,,,,,,,,,,,,,,,,,,,,,,
POGZ,pogo transposable element with ZNF domain,,,,,,,,,,,,,,,,,,,,,,
EIF4G3,eukaryotic translation initiation factor 4 gamma 3,,,,,,,,,,,,,,,,,,,,,,
ERICH1,glutamate rich 1,,,,,,,,,,,,,,,,,,,,,,
FHL2,four and a half LIM domains 2,,,,,,,,,,,,,,,,,,,,,,
IFT80,intraflagellar transport 80,,,,,,,,,,,,,,,,,,,,,,
RIMS4,regulating synaptic membrane exocytosis 4,,,,,,,,,,,,,,,,,,,,,,
SLC1A4,solute carrier family 1 member 4,,,,,,,,,,,,,,,,,,,,,,
LOC729296,uncharacterized LOC729296,,,,,,,,,,,,,,,,,,,,,,
C15orf56,chromosome 15 open reading frame 56,,,,,,,,,,,,,,,,,,,,,,
DCN,decorin,,,,,,,,,,,,,,,,,,,,,,
XAF1,XIAP associated factor 1,,,,,,,,,,,,,,,,,,,,,,
TTC14,tetratricopeptide repeat domain 14,,,,,,,,,,,,,,,,,,,,,,
TCF4,transcription factor 4,,,,,,,,,,,,,,,,,,,,,,
CDK12,cyclin dependent kinase 12,,,,,,,,,,,,,,,,,,,,,,
KRT8P12,keratin 8 pseudogene 12,,,,,,,,,,,,,,,,,,,,,,
NPHP3,nephronophthisis 3 (adolescent),,,,,,,,,,,,,,,,,,,,,,
CSNK2A2,casein kinase 2 alpha 2,,,,,,,,,,,,,,,,,,,,,,
SPRED1,sprouty related EVH1 domain containing 1,,,,,,,,,,,,,,,,,,,,,,
TCF4,transcription factor 4,,,,,,,,,,,,,,,,,,,,,,
SSPN,sarcospan,,,,,,,,,,,,,,,,,,,,,,
EPB41L2,erythrocyte membrane protein band 4.1 like 2,,,,,,,,,,,,,,,,,,,,,,
RS1,retinoschisin 1,,,,,,,,,,,,,,,,,,,,,,
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,,,,,,,,,,,,,,,,,,,,,,
NR2C1,nuclear receptor subfamily 2 group C member 1,,,,,,,,,,,,,,,,,,,,,,
STAT2,signal transducer and activator of transcription 2,,,,,,,,,,,,,,,,,,,,,,
C20orf78,chromosome 20 open reading frame 78,,,,,,,,,,,,,,,,,,,,,,
XRN1,5'-3' exoribonuclease 1,,,,,,,,,,,,,,,,,,,,,,
GSAP,gamma-secretase activating protein,,,,,,,,,,,,,,,,,,,,,,
RBM25,RNA binding motif protein 25,,,,,,,,,,,,,,,,,,,,,,
GABBR1,gamma-aminobutyric acid type B receptor subunit 1,,,,,,,,,,,,,,,,,,,,,,
LOC101928658,uncharacterized LOC101928658,,,,,,,,,,,,,,,,,,,,,,
FAM219B,family with sequence similarity 219 member B,,,,,,,,,,,,,,,,,,,,,,
CNIH2,cornichon family AMPA receptor auxiliary protein 2,,,,,,,,,,,,,,,,,,,,,,
INPP4A,inositol polyphosphate-4-phosphatase type I A,,,,,,,,,,,,,,,,,,,,,,
BOD1L1,biorientation of chromosomes in cell division 1 like 1,,,,,,,,,,,,,,,,,,,,,,
CPNE6,copine 6,,,,,,,,,,,,,,,,,,,,,,
SYTL2,synaptotagmin like 2,,,,,,,,,,,,,,,,,,,,,,
IRF4,interferon regulatory factor 4,,,,,,,,,,,,,,,,,,,,,,
BIRC6,baculoviral IAP repeat containing 6,,,,,,,,,,,,,,,,,,,,,,
LRCH3,leucine rich repeats and calponin homology domain containing 3,,,,,,,,,,,,,,,,,,,,,,
TEP1,telomerase associated protein 1,,,,,,,,,,,,,,,,,,,,,,
MIR5193///UBA7,microRNA 5193///ubiquitin like modifier activating enzyme 7,,,,,,,,,,,,,,,,,,,,,,
PIEZO1,piezo type mechanosensitive ion channel component 1,,,,,,,,,,,,,,,,,,,,,,
KLHL3,kelch like family member 3,,,,,,,,,,,,,,,,,,,,,,
UST,uronyl 2-sulfotransferase,,,,,,,,,,,,,,,,,,,,,,
ZNF197,zinc finger protein 197,,,,,,,,,,,,,,,,,,,,,,
GSAP,gamma-secretase activating protein,,,,,,,,,,,,,,,,,,,,,,
PLXNC1,plexin C1,,,,,,,,,,,,,,,,,,,,,,
LINC00628,long intergenic non-protein coding RNA 628,,,,,,,,,,,,,,,,,,,,,,
COL1A1,collagen type I alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3,SLX1B-SULT1A4 readthrough (NMD candidate)///SLX1A-SULT1A3 readthrough (NMD candidate)///sulfotransferase family 1A member 4///sulfotransferase family 1A member 3,,,,,,,,,,,,,,,,,,,,,,
PRTFDC1,phosphoribosyl transferase domain containing 1,,,,,,,,,,,,,,,,,,,,,,
KRTAP1-3,keratin associated protein 1-3,,,,,,,,,,,,,,,,,,,,,,
4-Sep,septin 4,,,,,,,,,,,,,,,,,,,,,,
VRK1,vaccinia related kinase 1,,,,,,,,,,,,,,,,,,,,,,
C1orf68,chromosome 1 open reading frame 68,,,,,,,,,,,,,,,,,,,,,,
CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,,,,,,,,,,,,,,,,,,,,,,
ZFYVE16,zinc finger FYVE-type containing 16,,,,,,,,,,,,,,,,,,,,,,
CAV2,caveolin 2,,,,,,,,,,,,,,,,,,,,,,
EEF1D,eukaryotic translation elongation factor 1 delta,,,,,,,,,,,,,,,,,,,,,,
REV1,REV1, DNA directed polymerase,,,,,,,,,,,,,,,,,,,,,
SRRT,serrate, RNA effector molecule,,,,,,,,,,,,,,,,,,,,,
MIR21///VMP1,microRNA 21///vacuole membrane protein 1,,,,,,,,,,,,,,,,,,,,,,
MDM1,Mdm1 nuclear protein,,,,,,,,,,,,,,,,,,,,,,
CSPG4P5,chondroitin sulfate proteoglycan 4 pseudogene 5,,,,,,,,,,,,,,,,,,,,,,
COL5A2,collagen type V alpha 2 chain,,,,,,,,,,,,,,,,,,,,,,
INHBA,inhibin beta A subunit,,,,,,,,,,,,,,,,,,,,,,
SUGP2,SURP and G-patch domain containing 2,,,,,,,,,,,,,,,,,,,,,,
MIR5193///UBA7,microRNA 5193///ubiquitin like modifier activating enzyme 7,,,,,,,,,,,,,,,,,,,,,,
SLC7A6,solute carrier family 7 member 6,,,,,,,,,,,,,,,,,,,,,,
CEP170P1///CEP170,centrosomal protein 170 pseudogene 1///centrosomal protein 170,,,,,,,,,,,,,,,,,,,,,,
NKAIN1,Na+/K+ transporting ATPase interacting 1,,,,,,,,,,,,,,,,,,,,,,
ZFPM2,zinc finger protein, FOG family member 2,,,,,,,,,,,,,,,,,,,,,
CCNL2,cyclin L2,,,,,,,,,,,,,,,,,,,,,,
GLT8D2,glycosyltransferase 8 domain containing 2,,,,,,,,,,,,,,,,,,,,,,
SFRP2,secreted frizzled related protein 2,,,,,,,,,,,,,,,,,,,,,,
BGN,biglycan,,,,,,,,,,,,,,,,,,,,,,
DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1,,,,,,,,,,,,,,,,,,,,,,
SKIL,SKI-like proto-oncogene,,,,,,,,,,,,,,,,,,,,,,
ALDOB,aldolase, fructose-bisphosphate B,,,,,,,,,,,,,,,,,,,,,
ATG16L2,autophagy related 16 like 2,,,,,,,,,,,,,,,,,,,,,,
TLN1,talin 1,,,,,,,,,,,,,,,,,,,,,,
CDH11,cadherin 11,,,,,,,,,,,,,,,,,,,,,,
SRRT,serrate, RNA effector molecule,,,,,,,,,,,,,,,,,,,,,
ZBTB37,zinc finger and BTB domain containing 37,,,,,,,,,,,,,,,,,,,,,,
IFT80,intraflagellar transport 80,,,,,,,,,,,,,,,,,,,,,,
COL1A2,collagen type I alpha 2 chain,,,,,,,,,,,,,,,,,,,,,,
CHD2,chromodomain helicase DNA binding protein 2,,,,,,,,,,,,,,,,,,,,,,
LOC101928443,uncharacterized LOC101928443,,,,,,,,,,,,,,,,,,,,,,
CLK2,CDC like kinase 2,,,,,,,,,,,,,,,,,,,,,,
P2RX2,purinergic receptor P2X 2,,,,,,,,,,,,,,,,,,,,,,
LOC283674,uncharacterized LOC283674,,,,,,,,,,,,,,,,,,,,,,
LOC100505716,uncharacterized LOC100505716,,,,,,,,,,,,,,,,,,,,,,
AHNAK,AHNAK nucleoprotein,,,,,,,,,,,,,,,,,,,,,,
TTC39A,tetratricopeptide repeat domain 39A,,,,,,,,,,,,,,,,,,,,,,
KMT2D,lysine methyltransferase 2D,,,,,,,,,,,,,,,,,,,,,,
TMEM209,transmembrane protein 209,,,,,,,,,,,,,,,,,,,,,,
TCF4,transcription factor 4,,,,,,,,,,,,,,,,,,,,,,
VASH2,vasohibin 2,,,,,,,,,,,,,,,,,,,,,,
RGR,retinal G protein coupled receptor,,,,,,,,,,,,,,,,,,,,,,
HM13,histocompatibility minor 13,,,,,,,,,,,,,,,,,,,,,,
THBS3,thrombospondin 3,,,,,,,,,,,,,,,,,,,,,,
COL1A1,collagen type I alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
FBN1,fibrillin 1,,,,,,,,,,,,,,,,,,,,,,
CPEB2,cytoplasmic polyadenylation element binding protein 2,,,,,,,,,,,,,,,,,,,,,,
MYL6,myosin light chain 6,,,,,,,,,,,,,,,,,,,,,,
DCN,decorin,,,,,,,,,,,,,,,,,,,,,,
GOLGA1,golgin A1,,,,,,,,,,,,,,,,,,,,,,
RBMS1,RNA binding motif single stranded interacting protein 1,,,,,,,,,,,,,,,,,,,,,,
PPIP5K2,diphosphoinositol pentakisphosphate kinase 2,,,,,,,,,,,,,,,,,,,,,,
FMO6P,flavin containing monooxygenase 6 pseudogene,,,,,,,,,,,,,,,,,,,,,,
UBE2J1,ubiquitin conjugating enzyme E2 J1,,,,,,,,,,,,,,,,,,,,,,
CTSK,cathepsin K,,,,,,,,,,,,,,,,,,,,,,
SLIT1,slit guidance ligand 1,,,,,,,,,,,,,,,,,,,,,,
DAZ4///DAZ2///DAZ3///DAZ1,deleted in azoospermia 4///deleted in azoospermia 2///deleted in azoospermia 3///deleted in azoospermia 1,,,,,,,,,,,,,,,,,,,,,,
OR5E1P,olfactory receptor family 5 subfamily E member 1 pseudogene,,,,,,,,,,,,,,,,,,,,,,
RAB28,RAB28, member RAS oncogene family,,,,,,,,,,,,,,,,,,,,,
TCF4,transcription factor 4,,,,,,,,,,,,,,,,,,,,,,
OPRL1,opioid related nociceptin receptor 1,,,,,,,,,,,,,,,,,,,,,,
U2AF2,U2 small nuclear RNA auxiliary factor 2,,,,,,,,,,,,,,,,,,,,,,
PLXDC2,plexin domain containing 2,,,,,,,,,,,,,,,,,,,,,,
CCDC82,coiled-coil domain containing 82,,,,,,,,,,,,,,,,,,,,,,
CCDC18-AS1,CCDC18 antisense RNA 1,,,,,,,,,,,,,,,,,,,,,,
FKBP14,FK506 binding protein 14,,,,,,,,,,,,,,,,,,,,,,
RPL14,ribosomal protein L14,,,,,,,,,,,,,,,,,,,,,,
KLF12,Kruppel like factor 12,,,,,,,,,,,,,,,,,,,,,,
COL5A1,collagen type V alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
JADE1,jade family PHD finger 1,,,,,,,,,,,,,,,,,,,,,,
LNPEP,leucyl and cystinyl aminopeptidase,,,,,,,,,,,,,,,,,,,,,,
PRSS58,protease, serine 58,,,,,,,,,,,,,,,,,,,,,
PNISR,PNN interacting serine and arginine rich protein,,,,,,,,,,,,,,,,,,,,,,
FAM160A1,family with sequence similarity 160 member A1,,,,,,,,,,,,,,,,,,,,,,
NOA1,nitric oxide associated 1,,,,,,,,,,,,,,,,,,,,,,
MAPT-AS1,MAPT antisense RNA 1,,,,,,,,,,,,,,,,,,,,,,
COL3A1,collagen type III alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
RFX5,regulatory factor X5,,,,,,,,,,,,,,,,,,,,,,
SHISA9,shisa family member 9,,,,,,,,,,,,,,,,,,,,,,
TGFBR1,transforming growth factor beta receptor 1,,,,,,,,,,,,,,,,,,,,,,
TPSAB1,tryptase alpha/beta 1,,,,,,,,,,,,,,,,,,,,,,
UGP2,UDP-glucose pyrophosphorylase 2,,,,,,,,,,,,,,,,,,,,,,
BBS2,Bardet-Biedl syndrome 2,,,,,,,,,,,,,,,,,,,,,,
CLPB,ClpB homolog, mitochondrial AAA ATPase chaperonin,,,,,,,,,,,,,,,,,,,,,
DCN,decorin,,,,,,,,,,,,,,,,,,,,,,
KRT75,keratin 75,,,,,,,,,,,,,,,,,,,,,,
RORC,RAR related orphan receptor C,,,,,,,,,,,,,,,,,,,,,,
C6orf52,chromosome 6 open reading frame 52,,,,,,,,,,,,,,,,,,,,,,
ELOVL2,ELOVL fatty acid elongase 2,,,,,,,,,,,,,,,,,,,,,,
CCKAR,cholecystokinin A receptor,,,,,,,,,,,,,,,,,,,,,,
COL3A1,collagen type III alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
FBLL1,fibrillarin-like 1,,,,,,,,,,,,,,,,,,,,,,
SUPT20H,SPT20 homolog, SAGA complex component,,,,,,,,,,,,,,,,,,,,,
NXF3,nuclear RNA export factor 3,,,,,,,,,,,,,,,,,,,,,,
CAMK2B,calcium/calmodulin dependent protein kinase II beta,,,,,,,,,,,,,,,,,,,,,,
LRIG2,leucine rich repeats and immunoglobulin like domains 2,,,,,,,,,,,,,,,,,,,,,,
SMCR8,Smith-Magenis syndrome chromosome region, candidate 8,,,,,,,,,,,,,,,,,,,,,
LINC00342,long intergenic non-protein coding RNA 342,,,,,,,,,,,,,,,,,,,,,,
COL3A1,collagen type III alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
CLK4,CDC like kinase 4,,,,,,,,,,,,,,,,,,,,,,
COL26A1,collagen type XXVI alpha 1 chain,,,,,,,,,,,,,,,,,,,,,,
LOC100129503,uncharacterized LOC100129503,,,,,,,,,,,,,,,,,,,,,,
MIR21///VMP1,microRNA 21///vacuole membrane protein 1,,,,,,,,,,,,,,,,,,,,,,
SNRNP70,small nuclear ribonucleoprotein U1 subunit 70,,,,,,,,,,,,,,,,,,,,,,
MAP3K9,mitogen-activated protein kinase kinase kinase 9,,,,,,,,,,,,,,,,,,,,,,
ANTXR1,anthrax toxin receptor 1,,,,,,,,,,,,,,,,,,,,,,
CCNL2,cyclin L2,,,,,,,,,,,,,,,,,,,,,,
SUFU,SUFU negative regulator of hedgehog signaling,,,,,,,,,,,,,,,,,,,,,,
NR2C2,nuclear receptor subfamily 2 group C member 2,,,,,,,,,,,,,,,,,,,,,,
ANAPC2,anaphase promoting complex subunit 2,,,,,,,,,,,,,,,,,,,,,,
TACSTD2,tumor-associated calcium signal transducer 2,,,,,,,,,,,,,,,,,,,,,,
KHSRP,KH-type splicing regulatory protein,,,,,,,,,,,,,,,,,,,,,,
DCN,decorin,,,,,,,,,,,,,,,,,,,,,,
OSER1-AS1,OSER1 antisense RNA 1 (head to head),,,,,,,,,,,,,,,,,,,,,,
TMEM174,transmembrane protein 174,,,,,,,,,,,,,,,,,,,,,,
LOC101930591///FAM21A///FAM21C,uncharacterized LOC101930591///family with sequence similarity 21 member A///family with sequence similarity 21 member C,,,,,,,,,,,,,,,,,,,,,,
OR5E1P,olfactory receptor family 5 subfamily E member 1 pseudogene,,,,,,,,,,,,,,,,,,,,,,
TRIP12,thyroid hormone receptor interactor 12,,,,,,,,,,,,,,,,,,,,,,
ALS2,ALS2, alsin Rho guanine nucleotide exchange factor,,,,,,,,,,,,,,,,,,,,,
ARGLU1,arginine and glutamate rich 1,,,,,,,,,,,,,,,,,,,,,,
MAFF,MAF bZIP transcription factor F,,,,,,,,,,,,,,,,,,,,,,
ADD1,adducin 1,,,,,,,,,,,,,,,,,,,,,,
MYLK3,myosin light chain kinase 3,,,,,,,,,,,,,,,,,,,,,,
OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,,,,,,,,,,,,,,,,,,,,,,
ARSF,arylsulfatase F,,,,,,,,,,,,,,,,,,,,,,
CASP1,caspase 1,,,,,,,,,,,,,,,,,,,,,,
POLR1E,RNA polymerase I subunit E,,,,,,,,,,,,,,,,,,,,,,
CCDC80,coiled-coil domain containing 80,,,,,,,,,,,,,,,,,,,,,,
COL1A2,collagen type I alpha 2 chain,,,,,,,,,,,,,,,,,,,,,,
LOC100131303,uncharacterized LOC100131303,,,,,,,,,,,,,,,,,,,,,,
HEYL,hes related family bHLH transcription factor with YRPW motif-like,,,,,,,,,,,,,,,,,,,,,,
BTN3A3,butyrophilin subfamily 3 member A3,,,,,,,,,,,,,,,,,,,,,,
CYR61,cysteine rich angiogenic inducer 61,,,,,,,,,,,,,,,,,,,,,,
SLTM,SAFB like transcription modulator,,,,,,,,,,,,,,,,,,,,,,
SMOX,spermine oxidase,,,,,,,,,,,,,,,,,,,,,,
SRRM2,serine/arginine repetitive matrix 2,,,,,,,,,,,,,,,,,,,,,,
CDK15,cyclin dependent kinase 15,,,,,,,,,,,,,,,,,,,,,,
PDLIM5,PDZ and LIM domain 5,,,,,,,,,,,,,,,,,,,,,,
GAS1,growth arrest specific 1,,,,,,,,,,,,,,,,,,,,,,
ANTXR1,anthrax toxin receptor 1,,,,,,,,,,,,,,,,,,,,,,
CBLB,Cbl proto-oncogene B,,,,,,,,,,,,,,,,,,,,,,
IRF2BP2,interferon regulatory factor 2 binding protein 2,,,,,,,,,,,,,,,,,,,,,,
TM7SF2,transmembrane 7 superfamily member 2,,,,,,,,,,,,,,,,,,,,,,
IER2,immediate early response 2,,,,,,,,,,,,,,,,,,,,,,
RNF213,ring finger protein 213,,,,,,,,,,,,,,,,,,,,,,
LOC101928222,uncharacterized LOC101928222,,,,,,,,,,,,,,,,,,,,,,
SKIL,SKI-like proto-oncogene,,,,,,,,,,,,,,,,,,,,,,
COL5A2,collagen type V alpha 2 chain,,,,,,,,,,,,,,,,,,,,,,
REV1,REV1, DNA directed polymerase,,,,,,,,,,,,,,,,,,,,,
DKK3,dickkopf WNT signaling pathway inhibitor 3,,,,,,,,,,,,,,,,,,,,,,
USP33,ubiquitin specific peptidase 33,,,,,,,,,,,,,,,,,,,,,,
ASXL2,additional sex combs like 2, transcriptional regulator,,,,,,,,,,,,,,,,,,,,,
WIPF1,WAS/WASL interacting protein family member 1,,,,,,,,,,,,,,,,,,,,,,
CSGALNACT2,chondroitin sulfate N-acetylgalactosaminyltransferase 2,,,,,,,,,,,,,,,,,,,,,,
KLC1,kinesin light chain 1,,,,,,,,,,,,,,,,,,,,,,
JMJD1C,jumonji domain containing 1C,,,,,,,,,,,,,,,,,,,,,,
GALK1,galactokinase 1,,,,,,,,,,,,,,,,,,,,,,
KDM2A,lysine demethylase 2A,,,,,,,,,,,,,,,,,,,,,,
INTU,inturned planar cell polarity protein,,,,,,,,,,,,,,,,,,,,,,
EEF1D,eukaryotic translation elongation factor 1 delta,,,,,,,,,,,,,,,,,,,,,,
ATAD2B,ATPase family, AAA domain containing 2B,,,,,,,,,,,,,,,,,,,,,
DOCK6,dedicator of cytokinesis 6,,,,,,,,,,,,,,,,,,,,,,
NPAP1,nuclear pore associated protein 1,,,,,,,,,,,,,,,,,,,,,,
MRPS26,mitochondrial ribosomal protein S26,,,,,,,,,,,,,,,,,,,,,,
SAP30L,SAP30 like,,,,,,,,,,,,,,,,,,,,,,
ZRANB2,zinc finger RANBP2-type containing 2,,,,,,,,,,,,,,,,,,,,,,
ALKBH7,alkB homolog 7,,,,,,,,,,,,,,,,,,,,,,
CDC23,cell division cycle 23,,,,,,,,,,,,,,,,,,,,,,
MNT,MAX network transcriptional repressor,,,,,,,,,,,,,,,,,,,,,,
FOXP1,forkhead box P1,,,,,,,,,,,,,,,,,,,,,,
MIR100HG,mir-100-let-7a-2 cluster host gene,,,,,,,,,,,,,,,,,,,,,,
FLJ31104,uncharacterized LOC441072,,,,,,,,,,,,,,,,,,,,,,
BRPF3,bromodomain and PHD finger containing 3,,,,,,,,,,,,,,,,,,,,,,
CELSR3-AS1,CELSR3 antisense RNA 1 (head to head),,,,,,,,,,,,,,,,,,,,,,
MAN2C1,mannosidase alpha class 2C member 1,,,,,,,,,,,,,,,,,,,,,,
GNPTAB,N-acetylglucosamine-1-phosphate transferase alpha and beta subunits,,,,,,,,,,,,,,,,,,,,,,
CTNNB1,catenin beta 1,,,,,,,,,,,,,,,,,,,,,,
HLA-DPA1,major histocompatibility complex, class II, DP alpha 1,,,,,,,,,,,,,,,,,,,,
OGFRP1,opioid growth factor receptor pseudogene 1,,,,,,,,,,,,,,,,,,,,,,
KREMEN2,kringle containing transmembrane protein 2,,,,,,,,,,,,,,,,,,,,,,
MAP3K2,mitogen-activated protein kinase kinase kinase 2,,,,,,,,,,,,,,,,,,,,,,
LRCH1,leucine rich repeats and calponin homology domain containing 1,,,,,,,,,,,,,,,,,,,,,,
PSMA3-AS1,PSMA3 antisense RNA 1,,,,,,,,,,,,,,,,,,,,,,
JPH1,junctophilin 1,,,,,,,,,,,,,,,,,,,,,,
SPARC,secreted protein acidic and cysteine rich,,,,,,,,,,,,,,,,,,,,,,
PRDM9,PR/SET domain 9,,,,,,,,,,,,,,,,,,,,,,
LINC01134,long intergenic non-protein coding RNA 1134,,,,,,,,,,,,,,,,,,,,,,
SPIN2A,spindlin family member 2A,,,,,,,,,,,,,,,,,,,,,,
THY1,Thy-1 cell surface antigen,,,,,,,,,,,,,,,,,,,,,,
PARD3B,par-3 family cell polarity regulator beta,,,,,,,,,,,,,,,,,,,,,,
