ID,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,Start,End
TC04002412.hg.1,0.000599,2.08E-07,6.9344823,7.0599278,3.57027183,chr4(-),1108985,1147514
TC07000809.hg.1,0.000599,2.13E-07,6.9256714,7.0397635,6.22202617,chr7(+),129906667,129929638
TC16000923.hg.1,0.000599,2.19E-07,6.9144439,7.0140527,5.5809626,chr16(-),20320896,20339130
TC01006266.hg.1,0.000599,2.21E-07,6.9109902,7.0061402,5.57778859,chr1(+),15802596,15817895
TC10002872.hg.1,0.000599,2.23E-07,6.9075917,6.9983526,5.03350021,chr10(-),124591671,124639157
TC16000618.hg.1,0.000599,2.38E-07,6.8822419,6.9402135,2.42329841,chr16(+),75259972,75262093
TC06003618.hg.1,0.000599,2.40E-07,6.8790411,6.9328659,6.0491066,chr6(-),35762887,35765057
TC10002953.hg.1,0.000599,2.57E-07,6.8508525,6.8680988,4.39392491,chr10(-),124591665,124610310
TC01000188.hg.1,0.000599,2.59E-07,6.8473892,6.8601338,5.45218629,chr1(+),15764935,15775737
TC12002042.hg.1,0.000599,2.64E-07,6.8400119,6.8431618,6.00859926,chr12(-),120759914,120765592
TC16001639.hg.1,0.000599,2.74E-07,6.8253625,6.8094375,2.37641385,chr16(+),75259972,75262093
TC03003297.hg.1,0.000599,2.92E-07,-6.8003597,6.751811,-1.0467853,chr3(-),195961240,195964785
TC06001667.hg.1,0.000599,2.93E-07,6.7993669,6.7495209,6.08858285,chr6(-),35762759,35765121
TC07003345.hg.1,0.000599,2.97E-07,6.7933835,6.7357169,5.39333011,chr7(+),142457319,142460927
TC01005455.hg.1,0.000601,3.07E-07,-6.7806048,6.7062195,-0.57522647,chr1(-),47638527,47640990
TC02002486.hg.1,0.000635,3.33E-07,6.7485067,6.6320287,0.86534241,chr2(-),165349322,165478360
TC03000799.hg.1,0.000641,3.52E-07,6.7270192,6.5822855,5.44171056,chr3(+),148508889,148577974
TC10002246.hg.1,0.000641,3.68E-07,-6.7095437,6.5417843,-1.25024238,chr10(+),102123362,102133115
TC07003346.hg.1,0.000641,3.70E-07,6.7071011,6.53612,4.73755961,chr7(+),142468258,142482399
TC04000961.hg.1,0.000641,3.73E-07,6.7040771,6.5291065,3.43382717,chr4(-),1108985,1116952
TC07002638.hg.1,0.000713,4.25E-07,6.6526289,6.4095966,4.71561113,chr7(+),142478757,142482399
TC0X000322.hg.1,0.000763,4.65E-07,-6.6166865,6.3258986,-0.56525125,chrX(+),54556644,54593720
TC19001378.hg.1,0.000772,4.82E-07,6.6030941,6.2942023,0.26480624,chr19(-),28926296,29218587
TC16001275.hg.1,0.000931,5.94E-07,6.5209121,6.1020537,5.27221998,chr16(-),75237994,75241072
TC16000617.hg.1,0.001098,7.16E-07,6.447798,5.9303859,5.29473229,chr16(+),75252884,75258822
TC12002874.hg.1,0.001269,8.82E-07,-6.3668496,5.7395515,-1.63813415,chr12(-),50569572,50570160
TC17000861.hg.1,0.001298,9.20E-07,-6.3503155,5.7004749,-0.94188706,chr17(+),73713474,73753899
TC01002342.hg.1,0.001419,1.05E-06,6.299268,5.5796234,1.0483365,chr1(-),23707554,23751261
TC01004792.hg.1,0.001419,1.08E-06,6.2890852,5.5554795,0.37096854,chr1(+),161068151,161070138
TC03000998.hg.1,0.001419,1.08E-06,6.2879127,5.5526986,0.68552642,chr3(+),183967438,184010819
TC0X002165.hg.1,0.001419,1.11E-06,6.2777341,5.5285511,1.08277917,chrX(-),102318134,102319103
TC09000155.hg.1,0.001419,1.11E-06,6.2769301,5.5266431,1.33477978,chr9(+),33750464,33799230
TC03003114.hg.1,0.001419,1.13E-06,6.2716818,5.514187,2.01422774,chr3(-),139237255,139258446
TC0Y000095.hg.1,0.001481,1.22E-06,6.2416812,5.4429231,2.33130305,chrY(+),27624443,27624468
TC0Y000208.hg.1,0.001481,1.22E-06,6.2416812,5.4429231,2.33130305,chrY(-),26337965,26337990
TC19001236.hg.1,0.001487,1.25E-06,-6.2321552,5.4202733,-0.54918538,chr19(-),14519610,14530195
TC0X000928.hg.1,0.001487,1.27E-06,6.2268975,5.4077677,0.31064094,chrX(-),24576204,24690979
TC08002637.hg.1,0.001529,1.36E-06,6.2001832,5.344178,0.41880314,chr8(+),11197146,11225961
TC02002479.hg.1,0.001529,1.36E-06,6.198757,5.3407809,3.33222824,chr2(-),162999385,163008914
TC19001758.hg.1,0.001529,1.37E-06,6.1954059,5.3327979,3.09366029,chr19(-),51322404,51327043
TC06000528.hg.1,0.001529,1.41E-06,-6.1852587,5.3086174,-0.61815444,chr6(+),36410544,36458920
TC0X001852.hg.1,0.001529,1.44E-06,6.1782211,5.2918401,0.56220129,chrX(+),119124753,119127773
TC08002162.hg.1,0.001529,1.46E-06,6.172796,5.2789033,0.47966873,chr8(+),145925737,145934941
TC01003784.hg.1,0.001529,1.47E-06,-6.1687616,5.2692806,-0.97716564,chr1(-),209788218,209825820
TC01000299.hg.1,0.001529,1.48E-06,6.1652135,5.2608162,0.66612377,chr1(+),24018269,24022915
TC09001680.hg.1,0.001529,1.51E-06,6.1592618,5.2466147,3.41454921,chr9(-),135946515,135947247
TC12003069.hg.1,0.001529,1.52E-06,6.1555312,5.237711,0.33389443,chr12(-),108275509,108297548
TC12000248.hg.1,0.001529,1.54E-06,6.1513025,5.2276169,0.38532798,chr12(+),24983355,24989492
TC0X001747.hg.1,0.001643,1.68E-06,-6.118146,5.1484012,-2.58295267,chrX(+),65486697,65487236
TC02001496.hg.1,0.001662,1.74E-06,6.1037048,5.1138615,0.69662323,chr2(-),279561,288851
TC19001513.hg.1,0.001662,1.78E-06,6.0962539,5.0960321,4.61966745,chr19(-),39693562,39694906
TC17000381.hg.1,0.001662,1.78E-06,6.0950407,5.0931285,0.97414289,chr17(+),31318882,31324895
TC08001081.hg.1,0.001662,1.79E-06,6.0929077,5.088023,1.02888119,chr8(-),27454434,27472548
TC06001756.hg.1,0.001711,1.87E-06,6.0766549,5.0491047,0.40431194,chr6(-),43690523,43705571
TC16000904.hg.1,0.001719,1.90E-06,-6.0699379,5.0330123,-0.78423961,chr16(-),17196181,17564738
TC04000393.hg.1,0.001802,2.04E-06,6.0421588,4.9664091,0.94593114,chr4(+),71677963,71678063
TC12001277.hg.1,0.001853,2.17E-06,6.0196599,4.9124064,5.18269926,chr12(-),15066969,15092016
TC16002047.hg.1,0.001853,2.18E-06,6.0172906,4.9067165,1.63869936,chr16(+),332615,337215
TC07000235.hg.1,0.001897,2.26E-06,-6.0035328,4.8736654,-2.22204873,chr7(+),36429415,36493400
TC01004008.hg.1,0.001986,2.39E-06,5.9814189,4.8204994,0.80068008,chr1(-),237167403,237167718
TC04000916.hg.1,0.002034,2.48E-06,5.9678032,4.78774,1.41444811,chr4(+),187187099,187210835
TC01003198.hg.1,0.002078,2.56E-06,-5.9551701,4.7573282,-0.55367318,chr1(-),149912231,149982686
TC15002661.hg.1,0.002128,2.66E-06,5.9417758,4.7250664,0.32741364,chr15(-),82152107,82259442
TC17000736.hg.1,0.002249,2.84E-06,5.9161837,4.6633757,0.50778982,chr17(+),58227297,58248260
TC01004004.hg.1,0.002259,2.93E-06,5.9046565,4.6355681,2.00136242,chr1(-),236378422,236445339
TC07003089.hg.1,0.002259,2.94E-06,5.9024799,4.6303159,0.63206194,chr7(-),100918989,100933033
TC0X000544.hg.1,0.002259,2.96E-06,5.8995622,4.6232749,2.8274205,chrX(+),110367493,110372431
TC01001585.hg.1,0.002259,2.98E-06,-5.8973041,4.617825,-1.59135282,chr1(+),183155174,183214262
TC03001834.hg.1,0.002259,3.02E-06,5.8925065,4.6062443,0.95631642,chr3(-),139236276,139258671
TC18000129.hg.1,0.002259,3.04E-06,5.8896573,4.5993657,2.21684178,chr18(+),29171689,29178986
TC14002308.hg.1,0.002341,3.19E-06,5.8720037,4.5567289,1.29322254,chr14(+),95047731,95059457
TC07001652.hg.1,0.002387,3.28E-06,5.8605262,4.5289928,1.28707052,chr7(-),99564343,99573780
TC08002263.hg.1,0.002494,3.47E-06,5.8399363,4.4792048,1.68766919,chr8(-),27454434,27468954
TC0X001832.hg.1,0.002523,3.59E-06,5.826839,4.4475141,2.86487006,chrX(+),110367493,110372431
TC02002364.hg.1,0.002523,3.66E-06,5.8187882,4.4280264,0.39829884,chr2(-),133402337,133429152
TC11002162.hg.1,0.002523,3.67E-06,-5.8180543,4.4262495,-1.35378293,chr11(-),85405265,85522184
TC20000344.hg.1,0.002523,3.68E-06,5.8170984,4.4239353,2.23547464,chr20(+),43935491,43946464
TC03002544.hg.1,0.002523,3.68E-06,5.816619,4.4227745,0.36353733,chr3(+),130236019,130279028
TC09001506.hg.1,0.00254,3.75E-06,5.8102998,4.4074728,0.96972029,chr9(-),116822407,116840752
TC07002746.hg.1,0.002544,3.79E-06,5.8060791,4.3972504,0.58550701,chr7(-),1514817,1515589
TC15001460.hg.1,0.002584,3.88E-06,5.7964998,4.3740442,1.76305756,chr15(-),53049186,53083273
TC06000001.hg.1,0.002586,3.94E-06,5.7909687,4.360641,0.3935229,chr6(+),155135,156639
TC09002074.hg.1,0.002586,3.97E-06,-5.7879676,4.3533674,-2.13536611,chr9(+),91926209,91931337
TC13000150.hg.1,0.002586,4.01E-06,-5.7843085,4.3444979,-0.87112354,chr13(+),42614172,42830716
TC17001624.hg.1,0.002586,4.03E-06,5.7820374,4.3389925,0.48434949,chr17(-),45486688,45500892
TC05001763.hg.1,0.002589,4.07E-06,5.778219,4.3297349,0.55455767,chr5(-),131527531,131631008
TC15000437.hg.1,0.002609,4.26E-06,5.7615797,4.2893787,1.00903898,chr15(+),57668703,57842925
TC11000228.hg.1,0.002609,4.27E-06,5.7606884,4.2872163,1.13304727,chr11(+),17281887,17371521
TC17001840.hg.1,0.002609,4.32E-06,-5.7559255,4.2756598,-0.88308828,chr17(-),70380443,70588943
TC07002085.hg.1,0.002609,4.34E-06,5.7540654,4.271146,0.47741576,chr7(-),158820866,158937649
TC09002705.hg.1,0.002609,4.36E-06,5.7523586,4.2670038,0.68057578,chr9(-),102648604,102668883
TC07002476.hg.1,0.002609,4.37E-06,5.7519658,4.2660504,1.16341288,chr7(+),97840778,97844754
TC19000287.hg.1,0.002609,4.41E-06,-5.7482057,4.2569245,-0.75396891,chr19(+),16146913,16146951
TC0X000357.hg.1,0.002609,4.41E-06,-5.7481168,4.2567086,-1.63161888,chrX(+),65382391,65488709
TC02002939.hg.1,0.002609,4.44E-06,5.7455813,4.2505541,1.05099209,chr2(-),241615835,241622323
TC01002971.hg.1,0.00265,4.58E-06,-5.7333341,4.2208178,-1.2770483,chr1(-),110905470,110933704
TC07002773.hg.1,0.00265,4.61E-06,-5.7308127,4.2146941,-1.74502327,chr7(-),5568087,5569258
TC06000590.hg.1,0.00265,4.68E-06,5.7257808,4.2024719,2.41488996,chr6(+),42928496,42931618
TC11003370.hg.1,0.00265,4.70E-06,5.7241394,4.1984846,0.7875176,chr11(-),117690790,117747746
TC02001162.hg.1,0.00265,4.74E-06,5.721007,4.1908746,2.28328336,chr2(+),201450591,201541787
TC21000500.hg.1,0.002689,4.85E-06,5.7121505,4.1693537,0.96603099,chr21(-),44473301,44497053
TC06001896.hg.1,0.002689,4.88E-06,5.7094586,4.1628112,0.42513933,chr6(-),79910962,79944455
TC02000445.hg.1,0.002719,4.97E-06,5.7023809,4.1456064,0.42323792,chr2(+),73872046,73912703
TC05001304.hg.1,0.002757,5.08E-06,5.6940835,4.1254313,1.76966428,chr5(-),41142336,41261540
TC10000721.hg.1,0.002785,5.22E-06,-5.6838675,4.1005833,-1.92447684,chr10(+),102106772,102124591
TC02000813.hg.1,0.002785,5.24E-06,5.6825997,4.0974993,0.47931177,chr2(+),131278667,131285583
TC04001320.hg.1,0.002785,5.25E-06,5.6816553,4.0952016,0.40024542,chr4(-),78071481,78071590
TC07002388.hg.1,0.002796,5.31E-06,-5.6773248,4.0846653,-0.56368085,chr7(+),66358898,66363279
TC10001164.hg.1,0.002804,5.37E-06,5.6733224,4.0749259,0.58281224,chr10(-),33247414,33249432
TC01003122.hg.1,0.002825,5.46E-06,5.6669193,4.0593421,0.89019752,chr1(-),146476760,146476831
TC05001911.hg.1,0.002825,5.49E-06,5.6649027,4.0544334,2.96573744,chr5(-),147204131,147211349
TC20000204.hg.1,0.002873,5.66E-06,5.6534217,4.0264808,0.37744725,chr20(+),30598245,30619984
TC13000978.hg.1,0.002873,5.68E-06,5.6521082,4.0232821,0.65237433,chr13(+),27825693,27830699
TC16001313.hg.1,0.002873,5.74E-06,-5.6476461,4.0124151,-0.41391277,chr16(-),84509966,84538296
TC18000061.hg.1,0.002975,5.99E-06,5.6316364,3.9734116,0.53188652,chr18(+),12093848,12129748
TC11000198.hg.1,0.002992,6.18E-06,-5.6200168,3.9450907,-0.72466047,chr11(+),12115543,12285332
TC01000353.hg.1,0.002992,6.18E-06,-5.6199657,3.9449663,-1.15348712,chr1(+),27189629,27190948
TC0X001357.hg.1,0.002992,6.19E-06,-5.6189773,3.9425567,-0.97286746,chrX(-),129198849,129244691
TC19000456.hg.1,0.003087,6.43E-06,5.6045929,3.9074816,0.72220355,chr19(+),35531410,35557477
TC10000808.hg.1,0.003127,6.56E-06,5.5970521,3.8890878,1.44317254,chr10(+),112631553,112659764
TC19000487.hg.1,0.003156,6.67E-06,5.5910486,3.8744406,0.79956437,chr19(+),36346762,36358048
TC02001974.hg.1,0.00316,6.76E-06,5.5856811,3.861343,2.50848147,chr2(-),71409868,71454233
TC01001108.hg.1,0.00316,6.77E-06,5.5850188,3.8597267,0.71120767,chr1(+),146550178,146550249
TC17002695.hg.1,0.00316,6.82E-06,5.5823458,3.853203,0.47621663,chr17(-),48240884,48242677
TC18000020.hg.1,0.00316,6.86E-06,-5.5802672,3.8481298,-0.73840392,chr18(+),3594112,3598350
TC15001761.hg.1,0.00316,7.02E-06,5.5717981,3.8274558,1.7527265,chr15(-),83517729,83621480
TC04002401.hg.1,0.00316,7.03E-06,5.5712597,3.8261414,0.38963689,chr4(-),299097,331029
TC14002098.hg.1,0.00316,7.03E-06,-5.5707992,3.825017,-1.21115954,chr14(-),77972381,77973145
TC07002132.hg.1,0.00316,7.04E-06,-5.5707225,3.8248297,-1.67260523,chr7(+),7284225,7288212
TC01004124.hg.1,0.003191,7.18E-06,5.5630406,3.8060721,0.52426074,chr1(+),995080,1002533
TC14000884.hg.1,0.003191,7.19E-06,-5.5622147,3.8040551,-0.70994612,chr14(-),20833826,20881580
TC16001882.hg.1,0.003255,7.56E-06,5.5432901,3.7578258,0.95565135,chr16(-),50727538,50733845
TC09000415.hg.1,0.003255,7.57E-06,-5.5431162,3.7574007,-1.14516287,chr9(+),91926113,91931618
TC09000491.hg.1,0.003255,7.68E-06,5.5374677,3.7435975,0.70724952,chr9(+),100263462,100364025
TC15002814.hg.1,0.003255,7.69E-06,5.5370449,3.7425642,2.69717402,chr15(-),45653322,45670991
TC07003204.hg.1,0.003255,7.70E-06,5.5364342,3.7410716,0.40630664,chr7(-),141987201,141991423
TC0X000144.hg.1,0.003255,7.72E-06,-5.5355941,3.7390185,-0.48970575,chrX(+),30852740,30853417
TC17001462.hg.1,0.003255,7.72E-06,-5.5353229,3.7383557,-2.36395324,chr17(-),38544768,38574408
TC09002737.hg.1,0.003255,7.77E-06,5.5328813,3.7323879,0.316981,chr9(-),111922746,111923757
TC04002915.hg.1,0.003255,7.83E-06,5.5299838,3.7253055,0.2969752,chr4(+),187147592,187179625
TC22000262.hg.1,0.003255,7.85E-06,-5.5293867,3.7238458,-0.83924325,chr22(+),36044424,36064456
TC16000284.hg.1,0.003263,8.03E-06,5.5206544,3.7024972,1.94048188,chr16(+),25227052,25240261
TC22000264.hg.1,0.003263,8.06E-06,5.5189992,3.69845,0.30106677,chr22(+),36113917,36125530
TC02001212.hg.1,0.003263,8.07E-06,5.5187865,3.6979297,0.63770857,chr2(+),207024309,207027653
TC0X000504.hg.1,0.003263,8.10E-06,5.5172524,3.6941786,0.37882419,chrX(+),103065314,103065438
TC12000732.hg.1,0.003263,8.15E-06,-5.5152322,3.6892383,-0.89770041,chr12(+),95228174,95228804
TC06000427.hg.1,0.003263,8.15E-06,-5.5151404,3.6890138,-1.08606186,chr6(+),33588522,33664351
TC21000402.hg.1,0.003263,8.19E-06,5.5131513,3.6841494,0.58256559,chr21(-),34162984,34186053
TC07002792.hg.1,0.003265,8.24E-06,5.5108542,3.6785312,0.40435789,chr7(-),12609751,12611017
TC0X002055.hg.1,0.003315,8.46E-06,5.5007742,3.6538743,0.46677239,chrX(-),48078054,48078818
TC08001328.hg.1,0.003315,8.48E-06,5.5000174,3.6520227,0.62443914,chr8(-),74202506,74208024
TC01002314.hg.1,0.003315,8.51E-06,-5.4988017,3.6490484,-0.80181218,chr1(-),20808884,20812728
TC15000852.hg.1,0.003319,8.56E-06,5.4962289,3.6427537,0.53728908,chr15(+),90247896,90248646
TC02002961.hg.1,0.003324,8.63E-06,5.4935241,3.6361352,0.53155017,chr2(-),242836136,242844702
TC01001141.hg.1,0.003325,8.72E-06,-5.4894856,3.6262527,-0.72513726,chr1(+),148193172,148193875
TC02001239.hg.1,0.003325,8.73E-06,5.4892182,3.6255982,0.21978031,chr2(+),210636717,210864024
TC03000746.hg.1,0.003325,8.77E-06,5.4873391,3.6209995,0.43990721,chr3(+),138327448,138352218
TC11003395.hg.1,0.003341,8.86E-06,5.4834863,3.6115695,0.40310676,chr11(-),124770622,124771240
TC05001166.hg.1,0.00337,9.05E-06,5.4754578,3.5919165,0.94695539,chr5(-),10971952,11904155
TC06000049.hg.1,0.00337,9.08E-06,5.4741718,3.5887681,0.46599757,chr6(+),5851739,5870453
TC06003622.hg.1,0.00337,9.10E-06,-5.4732713,3.5865633,-1.09634271,chr6(-),36461667,36462130
TC0X000543.hg.1,0.00337,9.16E-06,5.4708316,3.5805899,1.0568225,chrX(+),110187513,110464173
TC02003102.hg.1,0.00337,9.17E-06,5.4702121,3.5790732,0.32431854,chr2(+),21267101,21268881
TC16001874.hg.1,0.003379,9.33E-06,-5.4639177,3.5636597,-0.62658973,chr16(-),46658641,46660887
TC10001571.hg.1,0.003379,9.39E-06,5.4612661,3.5571659,1.19636394,chr10(-),99526508,99531756
TC08002367.hg.1,0.003379,9.43E-06,-5.4597665,3.5534932,-0.63618017,chr8(-),67679632,67680240
TC0X001025.hg.1,0.003379,9.43E-06,-5.4596789,3.5532786,-0.28518477,chrX(-),48886242,48901012
TC11000043.hg.1,0.003379,9.44E-06,5.4595126,3.5528713,0.79774081,chr11(+),1411129,1483915
TC10000956.hg.1,0.003419,9.64E-06,5.4514465,3.5331136,0.43325116,chr10(+),135333910,135374724
TC0X001239.hg.1,0.003419,9.65E-06,5.4511751,3.5324487,0.58099834,chrX(-),102564274,102565974
TC15000109.hg.1,0.00348,9.87E-06,5.4426917,3.5116639,1.45424989,chr15(+),25488761,25488842
TC01002145.hg.1,0.003501,9.98E-06,5.438521,3.5014437,0.45981895,chr1(-),6241329,6269449
TC07002485.hg.1,0.003561,1.02E-05,5.428849,3.4777389,1.00959324,chr7(+),99578385,99584932
TC03002756.hg.1,0.003561,1.03E-05,5.4272163,3.4737366,0.39061086,chr3(+),195634947,195638128
TC19001278.hg.1,0.003561,1.03E-05,5.4255632,3.4696844,0.2277702,chr19(-),17712137,17799401
TC15001511.hg.1,0.003561,1.04E-05,5.4245762,3.4672649,1.12742168,chr15(-),62455734,62457482
TC17001608.hg.1,0.003593,1.05E-05,5.419362,3.4544815,0.45396079,chr17(-),43677491,43679748
TC01006353.hg.1,0.003619,1.06E-05,5.4140783,3.4415263,0.80605387,chr1(-),47023079,47069966
TC19001817.hg.1,0.003619,1.07E-05,5.4130017,3.4388865,0.39694068,chr19(-),53792854,53794875
TC18000226.hg.1,0.003685,1.10E-05,-5.4011227,3.4097527,-2.14663576,chr18(+),61143994,61172318
TC02002190.hg.1,0.003685,1.10E-05,5.4010081,3.4094718,0.44951611,chr2(-),110494713,110495099
TC06001969.hg.1,0.003685,1.11E-05,5.3989037,3.4043098,0.54118297,chr6(-),100832891,100912805
TC13000093.hg.1,0.003685,1.13E-05,5.3929336,3.3896638,0.34857126,chr13(+),29598747,30080084
TC19002354.hg.1,0.003685,1.13E-05,-5.3914962,3.3861372,-0.58705864,chr19(-),14519610,14529906
TC08000938.hg.1,0.003685,1.13E-05,-5.3905179,3.383737,-0.47442585,chr8(-),8175258,8244008
TC18000103.hg.1,0.003685,1.13E-05,-5.3903816,3.3834025,-1.04871777,chr18(+),21269562,21535030
TC22001100.hg.1,0.003685,1.15E-05,5.3836679,3.366929,0.42172628,chr22(+),37767729,37768896
TC19000340.hg.1,0.003685,1.16E-05,-5.38197,3.3627624,-0.52836722,chr19(+),17666460,17693966
TC10000268.hg.1,0.003685,1.16E-05,5.3800543,3.358061,0.2494287,chr10(+),43572475,43625799
TC03001736.hg.1,0.003685,1.17E-05,5.3775061,3.3518073,0.80845387,chr3(-),126061478,126076285
TC08000638.hg.1,0.003685,1.17E-05,5.3770525,3.3506939,0.35382619,chr8(+),103876528,103990104
TC10000180.hg.1,0.003685,1.18E-05,5.3761643,3.348514,0.29695229,chr10(+),26505236,26593491
TC06001802.hg.1,0.003685,1.18E-05,5.3759831,3.3480694,1.98866821,chr6(-),52614885,52628367
TC08002383.hg.1,0.003685,1.18E-05,5.3756464,3.347243,0.26261102,chr8(-),74223141,74268696
TC01006023.hg.1,0.003685,1.18E-05,-5.3755257,3.3469468,-1.55964029,chr1(-),197113086,197115665
TC18000099.hg.1,0.003685,1.18E-05,-5.3754296,3.3467108,-0.6524363,chr18(+),20714528,20840434
TC03000209.hg.1,0.003685,1.18E-05,5.3748106,3.3451917,0.64538702,chr3(+),40498783,40506549
TC0X002318.hg.1,0.003685,1.19E-05,5.3727899,3.3402318,0.37797083,chrX(+),101967104,101973607
TC02002344.hg.1,0.003685,1.19E-05,5.3715451,3.3371764,0.45729637,chr2(-),131350335,131357251
TC04000211.hg.1,0.003707,1.20E-05,5.3672703,3.3266828,0.25996077,chr4(+),37245842,37451087
TC03002858.hg.1,0.003707,1.22E-05,-5.36336,3.3170829,-1.05018021,chr3(-),36933691,36986437
TC05000826.hg.1,0.003707,1.22E-05,-5.3615308,3.3125921,-0.42062021,chr5(+),149379884,149432706
TC10000865.hg.1,0.003707,1.23E-05,-5.3600322,3.3089126,-0.66141921,chr10(+),120967101,121215131
TC08001736.hg.1,0.003707,1.23E-05,-5.3596728,3.3080302,-1.19836702,chr8(-),144939497,144952632
TC17001296.hg.1,0.003707,1.23E-05,5.3594972,3.3075989,0.45405509,chr17(-),26691290,26697717
TC21000187.hg.1,0.003722,1.24E-05,5.3563626,3.2999022,0.94445048,chr21(+),42676139,42729654
TC01000917.hg.1,0.003744,1.25E-05,5.3525684,3.2905852,0.68320291,chr1(+),104068313,104153092
TC01003091.hg.1,0.003826,1.30E-05,5.3394551,3.2583779,0.35474307,chr1(-),144456138,144521970
TC22000610.hg.1,0.003826,1.30E-05,5.3394515,3.258369,1.22739054,chr22(-),26921458,26992681
TC16002021.hg.1,0.003826,1.31E-05,5.3355713,3.2488372,0.50786923,chr16(-),88143566,88148142
TC01001791.hg.1,0.003826,1.31E-05,-5.3352059,3.2479397,-1.79475649,chr1(+),214776532,214837931
TC0X000484.hg.1,0.003838,1.33E-05,5.3301247,3.2354561,0.47088768,chrX(+),101380660,101382684
TC0X001308.hg.1,0.003838,1.33E-05,5.3297571,3.2345529,0.39511677,chrX(-),118490264,118527558
TC10002604.hg.1,0.003838,1.34E-05,5.3278168,3.2297856,0.33293851,chr10(-),46780490,46790500
TC10000160.hg.1,0.003838,1.34E-05,5.3275805,3.2292049,0.57874579,chr10(+),23076322,23076428
TC11001026.hg.1,0.003843,1.35E-05,5.3230782,3.2181419,0.8480347,chr11(+),113930315,114121398
TC19001593.hg.1,0.003843,1.36E-05,-5.3210695,3.2132058,-0.68175805,chr19(-),44150247,44174502
TC11000944.hg.1,0.003843,1.36E-05,-5.3209606,3.2129381,-1.17284417,chr11(+),100558384,100861656
TC06002551.hg.1,0.003843,1.38E-05,5.316539,3.2020718,0.48828221,chr6(+),5851739,5870453
TC17000319.hg.1,0.003843,1.38E-05,5.3149812,3.1982432,1.11919479,chr17(+),26646121,26655711
TC14001322.hg.1,0.003843,1.38E-05,5.3148822,3.198,0.31220757,chr14(-),75890386,75894444
TC07002899.hg.1,0.003843,1.38E-05,-5.3148117,3.1978266,-0.35999641,chr7(-),38407246,38407746
TC0X000084.hg.1,0.003843,1.39E-05,-5.312444,3.1920072,-0.43623031,chrX(+),17393543,17754114
TC12001620.hg.1,0.003843,1.39E-05,-5.3122971,3.1916462,-0.61260653,chr12(-),57489187,57522883
TC13000638.hg.1,0.003843,1.40E-05,5.3120155,3.190954,0.68756997,chr13(-),46306216,46306511
TC22000168.hg.1,0.003909,1.43E-05,5.3017086,3.1656178,0.33741472,chr22(+),26565440,26779563
TC12001106.hg.1,0.003909,1.43E-05,-5.3016178,3.1653947,-1.10020085,chr12(-),2966847,2986321
TC19002394.hg.1,0.003909,1.44E-05,5.3011456,3.1642338,1.24389157,chr19(-),21753139,21770045
TC04002636.hg.1,0.003909,1.44E-05,-5.2987689,3.1583906,-0.84421839,chr4(-),96083659,96088750
TC11002408.hg.1,0.003909,1.47E-05,5.2924856,3.1429414,0.26906157,chr11(-),124310022,124311054
